 -----------------------------------------------------------------------
|            Memory leaks dump (Fri Mar 17 00:30:13 2023)               |
 -----------------------------------------------------------------------

.----------------------------.-------------------.---------------------------------------.
|       SOURCE FILE          |       LINE        |        BYTES        |     ALLOC #     |
+----------------------------|-------------------|---------------------------------------+
|                            |      [0000]       |             108     |               0 |
|                            |      [0000]       |             468     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |               4     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
